model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance
ConvNN-2k,2548.0,last_layer,kron,10.0,1.5953354,1.5967195,1.5739062,1.5752795,1.5838903125,10.339878224258422,8.76459875,170,1.559473400435782,8.765050361218382,0.9159837961196899
ConvNN-5k,5001.0,last_layer,kron,10.0,1.5318571,1.5339537,1.4892112,1.4912337,1.50241515625,14.215076206474304,12.7238425,260,1.5143734084851745,12.724373297677113,1.0479766130447388
ConvNN-9k,9663.0,last_layer,kron,10.0,1.3302367,1.3330857,1.2442423,1.2468739,1.26017,16.272845105590818,15.02597125,340,1.3332040664357305,15.026548091172982,1.2572877407073975
ConvNN-15k,15888.0,last_layer,kron,10.0,1.2255273,1.2294911,1.0489166,1.0523022,1.07010515625,21.29490849132538,20.24260625,430,1.229550069535789,20.243287425959682,1.5312318801879883
ConvNN-21k,21344.0,last_layer,kron,10.0,1.2318836,1.2367934,1.0106087,1.0145569,1.034724609375,23.529711884765625,22.515155,510,1.2369312810906772,22.515881627843715,1.6952263116836548
ConvNN-30k,30119.0,last_layer,kron,10.0,1.1523498,1.1585708,0.8413402,0.8457768,0.868081328125,25.332266796340942,24.48649,590,1.1587133288288638,24.487256055332267,1.8761041164398193
ConvNN-37k,37591.0,last_layer,kron,10.0,1.194824,1.2021976,0.8093106,0.8141496,0.839769375,30.249689618148803,29.43554,680,1.202447746494765,29.436405038311925,2.084968328475952
ConvNN-48k,48987.0,last_layer,kron,10.0,1.1088239,1.1175754,0.69585747,0.7010971,0.7272525,28.29313207117081,27.592035,760,1.1177456094654912,27.59286316747451,2.156463146209717
ConvNN-62k,62006.0,last_layer,kron,10.0,1.1746762,1.1865122,0.56398684,0.56939024,0.5996925390625,34.03271023733139,33.46332,850,1.186812066900836,33.464265595523074,2.964470624923706
ConvNN-72k,72421.0,last_layer,kron,10.0,1.2005478,1.2153786,0.4834988,0.48905158,0.520452265625,33.204259080429075,32.7152075,930,1.2154820768190282,32.71613813297382,3.5522572994232178
ConvNN-87k,87930.0,last_layer,kron,10.0,1.334697,1.3526162,0.4520012,0.45774776,0.49332703125,38.79088525743485,38.3331375,1010,1.3530669487156437,38.33418049382104,4.157342433929443
ConvNN-100k,100421.0,last_layer,kron,10.0,1.3964245,1.4180706,0.39605233,0.40188214,0.4394805859375,40.84655214182854,40.44467,1100,1.4185290273831477,40.445755225315665,4.951471328735352
ConvNN-118k,118551.0,last_layer,kron,10.0,1.4765359,1.5061749,0.26272923,0.26764035,0.30673865234375,40.82403285224915,40.5563925,1180,1.5067964734612116,40.55747995981036,6.646515369415283
ConvNN-138k,138364.0,last_layer,kron,10.0,1.6012605,1.6402117,0.21107726,0.21579462,0.255850546875,41.0685421228981,40.8527475,1270,1.6404081641870685,40.8538408870289,8.17544174194336
ConvNN-153k,153738.0,last_layer,kron,10.0,1.5721691,1.6170106,0.17984842,0.18411292,0.22461517578125,40.27869792135716,40.094585,1350,1.61731334749613,40.095663223475626,8.308523178100586
ConvNN-175k,175981.0,last_layer,kron,10.0,1.6818078,1.7362416,0.14511208,0.14904194,0.190759453125,40.53958193580151,40.39054,1430,1.7364644684379296,40.39162414269401,9.976543426513672
ConvNN-193k,193491.0,last_layer,kron,10.0,1.7721707,1.8397863,0.12164808,0.12523827,0.1667951171875,39.33191076956749,39.2066725,1520,1.8401591268329751,39.20773296487046,11.416746139526367
ConvNN-218k,218355.0,last_layer,kron,10.0,1.8189343,1.9131224,0.082804166,0.08594213,0.127337421875,38.13846712681055,38.052525,1600,1.9136989257309693,38.053562381458796,13.134578704833984
ConvNN-244k,244962.0,last_layer,kron,10.0,2.0188522,2.1473627,0.058232665,0.060911175,0.1002508984375,35.136206174863574,35.075295,1690,2.147443595932626,35.076272835667865,15.913366317749023
ConvNN-265k,265295.0,last_layer,kron,10.0,1.9549177,2.0932972,0.05381639,0.05656669,0.0940575,32.158459189163445,32.1018925,1770,2.093226824343272,32.102810866428484,15.163324356079102
ConvNN-294k,294272.0,last_layer,kron,10.0,2.0388813,2.2152112,0.044767134,0.047417473,0.08281259765625,29.62463747304797,29.57722,1850,2.2157452612203925,29.5780878719686,16.882415771484375
ConvNN-316k,316801.0,last_layer,kron,10.0,2.1231527,2.3511727,0.03510685,0.037793793,0.0691241162109375,25.92079879278421,25.883005,1940,2.351443918208177,25.883798986190882,19.69924545288086
ConvNN-348k,348399.0,last_layer,kron,10.0,2.0131373,2.2698085,0.03158481,0.03446726,0.063031708984375,23.43381976128459,23.3993525,2020,2.2704509186223976,23.400096812147403,18.772111892700195
ConvNN-381k,381800.0,last_layer,kron,10.0,1.93517,2.2472665,0.02647327,0.029733969,0.0522880859375,19.15137646889865,19.1216425,2110,2.246977266748305,19.122301256236284,19.28522491455078
ConvNN-407k,407092.0,last_layer,kron,10.0,1.9063245,2.2134326,0.02812829,0.0314914,0.05639673828125,21.168483898811346,21.1369925,2190,2.213967953513331,21.13769156404244,18.22170639038086
ConvNN-442k,442803.0,last_layer,kron,10.0,1.9815091,2.3505716,0.028043093,0.03225786,0.054379130859375,20.5129566086638,20.48069875,2270,2.350632847911649,20.481384687904914,20.001991271972656
