model        ,parameters ,subset     ,hessian ,prior precision    ,bayes loss ,gibbs loss ,bayes loss train ,gibbs loss train ,neg log marginal laplace ,neg log marginal   ,normalized KL      ,last layer params ,inverse rate        ,s value              ,variance
ConvNN-2k    ,    2548.0 ,last_layer ,kron    ,0.0099999997764825 , 1.5953358 , 1.5967656 ,     1.5739052   ,     1.5753282   ,        1.59213359375    ,1.600548218650818  ,0.0252199877929687 ,              170 ,0.14633478542749745 ,0.02549680794028679  ,0.030540302395820618
ConvNN-5k    ,    5001.0 ,last_layer ,kron    ,0.0099999997764825 , 1.5318372 , 1.5341423 ,     1.489212    ,     1.491378    ,        1.5157459375     ,1.5279535063552856 ,0.036575556640625  ,              260 ,0.16528663878311334 ,0.036852603903862365 ,0.04181484133005142
ConvNN-9k    ,    9663.0 ,last_layer ,kron    ,0.0099999997764825 , 1.3302096 , 1.3332582 ,     1.2442403   ,     1.2470461   ,        1.278991796875   ,1.2934272702407836 ,0.0463811572265625 ,              340 ,0.18199663459158866 ,0.0466584006057339   ,0.06550830602645874
ConvNN-15k   ,   15888.0 ,last_layer ,kron    ,0.0099999997764825 , 1.2255212 , 1.2295579 ,     1.0489181   ,     1.0523658   ,        1.09411328125    ,1.1135867710876466 ,0.0612209912109375 ,              430 ,0.2034706181453365  ,0.06149853139272465  ,0.08299768716096878
ConvNN-21k   ,   21344.0 ,last_layer ,kron    ,0.0099999997764825 , 1.2318549 , 1.2369349 ,     1.0106184   ,     1.014692    ,        1.063100390625   ,1.0848165338516236 ,0.0701245849609375 ,              510 ,0.21506611256279617 ,0.07040230321816116  ,0.08650583028793335
ConvNN-30k   ,   30119.0 ,last_layer ,kron    ,0.0099999997764825 , 1.1522806 , 1.1587276 ,     0.84134716  ,     0.84594285  ,        0.901180390625   ,0.9246884066390992 ,0.0787455517578125 ,              590 ,0.2260428122303968  ,0.07902344243782054  ,0.09841708838939667
ConvNN-37k   ,   37591.0 ,last_layer ,kron    ,0.0099999997764825 , 1.1945922 , 1.2025585 ,     0.8093642   ,     0.81450325  ,        0.8778971875     ,0.906270068912506  ,0.09176681640625   ,              680 ,0.24241219919100598 ,0.09204496751675963  ,0.10231669247150421
ConvNN-48k   ,   48987.0 ,last_layer ,kron    ,0.0099999997764825 , 1.1087102 , 1.1178702 ,     0.69590175  ,     0.7014006   ,        0.77016953125    ,0.7963645331001281 ,0.094963955078125  ,              760 ,0.24494426423484272 ,0.09524217013268695  ,0.10928157716989517
ConvNN-62k   ,   62006.0 ,last_layer ,kron    ,0.0099999997764825 , 1.1743134 , 1.1868987 ,     0.564073    ,     0.5697489   ,        0.647727578125   ,0.6797024429321289 ,0.109953564453125  ,              850 ,0.2622586725487508  ,0.11023207930587041  ,0.11741279810667038
ConvNN-72k   ,   72421.0 ,last_layer ,kron    ,0.0099999997764825 , 1.2002385 , 1.2156991 ,     0.48357677  ,     0.48934522  ,        0.5733965625     ,0.6043011406803132 ,0.11495591796875   ,              930 ,0.26777431056674783 ,0.1152345328705667   ,0.12323353439569473
ConvNN-87k   ,   87930.0 ,last_layer ,kron    ,0.0099999997764825 , 1.3343912 , 1.3528864 ,     0.45207483  ,     0.45799166  ,        0.55107390625    ,0.5876088764381409 ,0.129617216796875  ,             1010 ,0.2861284909991113  ,0.12989612493053287  ,0.1267770528793335
ConvNN-100k  ,  100421.0 ,last_layer ,kron    ,0.0099999997764825 , 1.3959528 , 1.418425  ,     0.3961743   ,     0.40221897  ,        0.502503359375   ,0.5410927469730378 ,0.138873779296875  ,             1100 ,0.2964267044647688  ,0.13915287256548559  ,0.13298805058002472
ConvNN-118k  ,  118551.0 ,last_layer ,kron    ,0.0099999997764825 , 1.4756836 , 1.5066997 ,     0.26293573  ,     0.26809004  ,        0.3739895703125  ,0.4124004594135284 ,0.144310419921875  ,             1180 ,0.30084910704123646 ,0.14458962192547278  ,0.13820086419582367
ConvNN-138k  ,  138364.0 ,last_layer ,kron    ,0.0099999997764825 , 1.5998075 , 1.6408521 ,     0.21136458  ,     0.21632627  ,        0.328416171875   ,0.3669555536365509 ,0.150629287109375  ,             1270 ,0.3096872754034683  ,0.15090861549284415  ,0.14592118561267853
ConvNN-153k  ,  153738.0 ,last_layer ,kron    ,0.0099999997764825 , 1.5699451 , 1.6181388 ,     0.1803115   ,     0.18493266  ,        0.30140228515625 ,0.3388870390367507 ,0.153954375        ,             1350 ,0.3105880604958653  ,0.15423376988655702  ,0.14482994377613068
ConvNN-175k  ,  175981.0 ,last_layer ,kron    ,0.0099999997764825 , 1.6790289 , 1.7374709 ,     0.14561741  ,     0.14985253  ,        0.27258333984375 ,0.3100043455743789 ,0.16015181640625   ,             1430 ,0.3175424879498099  ,0.16043133524411418  ,0.14890532195568085
ConvNN-193k  ,  193491.0 ,last_layer ,kron    ,0.0099999997764825 , 1.7674193 , 1.8415087 ,     0.12237229  ,     0.12632734  ,        0.2537017578125  ,0.2896543866157531 ,0.16332705078125   ,             1520 ,0.3213347011559735  ,0.16360663312507182  ,0.15136577188968658
ConvNN-218k  ,  218355.0 ,last_layer ,kron    ,0.0099999997764825 , 1.8118411 , 1.9155302 ,     0.083699204 ,     0.08721867  ,        0.2189827734375  ,0.2540319142246246 ,0.1668132421875    ,             1600 ,0.3231074627482846  ,0.16709289425654442  ,0.15148328244686127
ConvNN-244k  ,  244962.0 ,last_layer ,kron    ,0.0099999997764825 , 2.0053337 , 2.151631  ,     0.05969178  ,     0.062970094 ,        0.19638806640625 ,0.2288177311015129 ,0.16584763671875   ,             1690 ,0.3254771449026117  ,0.1661272694752988   ,0.15681545436382294
ConvNN-265k  ,  265295.0 ,last_layer ,kron    ,0.0099999997764825 , 1.9379492 , 2.0987513 ,     0.055658445 ,     0.05920243  ,        0.19467224609375 ,0.2242403195321559 ,0.165037890625     ,             1770 ,0.32384371146452406 ,0.165317507186303    ,0.156560018658638
ConvNN-294k  ,  294272.0 ,last_layer ,kron    ,0.0099999997764825 , 2.013653  , 2.2230992 ,     0.047179125 ,     0.050850794 ,        0.18788529296875 ,0.2154998757505417 ,0.16464908203125   ,             1850 ,0.32501279936623706 ,0.1649286908162256   ,0.15900377929210663
ConvNN-316k  ,  316801.0 ,last_layer ,kron    ,0.0099999997764825 , 2.081475  , 2.3645756 ,     0.038802583 ,     0.04321736  ,        0.178443046875   ,0.2042960719108581 ,0.1610787109375    ,             1940 ,0.3216940023083503  ,0.16135824831362555  ,0.15906557440757751
ConvNN-348k  ,  348399.0 ,last_layer ,kron    ,0.0099999997764825 , 1.957909  , 2.2886639 ,     0.036369104 ,     0.041736275 ,        0.17575193359375 ,0.2007325737857818 ,0.158996298828125  ,             2020 ,0.3172247746815502  ,0.1592757945551754   ,0.15615004301071167
