model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance
ConvNN-2k,2548.0,last_layer,kron,0.1000000014901161,1.5953352,1.5967685,1.5739056,1.5753307,1.58863171875,1.6753325897216798,0.10000185546875,170,0.3903143722018749,0.10028017128333495,0.9160828590393066
ConvNN-5k,5001.0,last_layer,kron,0.1000000014901161,1.5318503,1.534091,1.4892081,1.4913357,1.510539375,1.6362806617355343,0.144944912109375,260,0.49199224545679066,0.14522412680307034,1.0483464002609253
ConvNN-9k,9663.0,last_layer,kron,0.1000000014901161,1.3302091,1.3332614,1.2442412,1.2470493,1.2719678125,1.420256812133789,0.17320748046875,340,0.5700421745927339,0.17348726042511778,1.257756233215332
ConvNN-15k,15888.0,last_layer,kron,0.1000000014901161,1.2255203,1.229561,1.0489184,1.0523696,1.085226875,1.2853305516052247,0.23296095703125,430,0.6852467652960231,0.2332419320810509,1.531416416168213
ConvNN-21k,21344.0,last_layer,kron,0.1000000014901161,1.2318543,1.2369386,1.010619,1.0146965,1.0525621875,1.274909467124939,0.26021298828125,510,0.7395138988230816,0.26049450838257693,1.6956682205200195
ConvNN-30k,30119.0,last_layer,kron,0.1000000014901161,1.1522799,1.1587306,0.8413476,0.8459451,0.888981875,1.130352151107788,0.28440703125,590,0.7842819977442054,0.2846890352418641,1.8766788244247437
ConvNN-37k,37591.0,last_layer,kron,0.1000000014901161,1.1946024,1.2025456,0.80935997,0.8144905,0.863845,1.154263036174774,0.3397725390625,680,0.8765060623531171,0.340055650386667,2.086671829223633
ConvNN-48k,48987.0,last_layer,kron,0.1000000014901161,1.1087092,1.1178676,0.6959007,0.7013975,0.7544621875,1.025479509830475,0.32408203125,760,0.8477867432819244,0.3243648287577344,2.157480239868164
ConvNN-62k,62006.0,last_layer,kron,0.1000000014901161,1.1743276,1.1868821,0.56406915,0.56973505,0.630168359375,0.959653253326416,0.389918203125,850,1.0020389827506717,0.39020231738250694,2.966569423675537
ConvNN-72k,72421.0,last_layer,kron,0.1000000014901161,1.2002364,1.2157005,0.4835775,0.48934737,0.554168125,0.875106079416275,0.3857587109375,930,1.0560069618043009,0.38604274200349936,3.553828477859497
ConvNN-87k,87930.0,last_layer,kron,0.1000000014901161,1.3343885,1.3528897,0.45207503,0.45799467,0.530188984375,0.9072839274883272,0.4492892578125,1010,1.2103199942954606,0.4495745595148496,4.15872859954834
ConvNN-100k,100421.0,last_layer,kron,0.1000000014901161,1.3959532,1.4184276,0.3961745,0.40222025,0.4797571875,0.8773772413635255,0.4751569921875,1100,1.3078911226253376,0.4754428112548844,4.953596115112305
ConvNN-118k,118551.0,last_layer,kron,0.1000000014901161,1.4756824,1.5066999,0.2629355,0.26809,0.349588671875,0.747243955001831,0.4791539453125,1180,1.4343524215892192,0.4794398443205457,6.649776458740234
ConvNN-138k,138364.0,last_layer,kron,0.1000000014901161,1.5998244,1.6408496,0.2113599,0.21631867,0.302162890625,0.7019784325599671,0.485659765625,1270,1.5772345895181306,0.48594579475205435,8.180464744567871
ConvNN-153k,153738.0,last_layer,kron,0.1000000014901161,1.5699812,1.6181006,0.18029703,0.18490116,0.27352162109375,0.664619131731987,0.47971796875,1350,1.565592872018609,0.4800038790387401,8.316705703735352
ConvNN-175k,175981.0,last_layer,kron,0.1000000014901161,1.6790607,1.7374527,0.14560899,0.14983836,0.2429885546875,0.6357881628513335,0.4859498046875,1430,1.691850002150739,0.4862358396154516,9.98619270324707
ConvNN-193k,193491.0,last_layer,kron,0.1000000014901161,1.7674966,1.8414798,0.122358955,0.12630635,0.22227416015625,0.6021955346870422,0.4758891796875,1520,1.7964148209304467,0.47617501339892726,11.432096481323242
ConvNN-218k,218355.0,last_layer,kron,0.1000000014901161,1.8119228,1.9155003,0.08368891,0.087203726,0.18588244140625,0.5537054839849471,0.4665017578125,1600,1.87760919504635,0.4667874037717347,13.158782958984375
ConvNN-244k,244962.0,last_layer,kron,0.1000000014901161,2.0056086,2.1515489,0.05966352,0.06292634,0.16146134765625,0.4987661418104172,0.4358398046875,1690,2.101289678736701,0.4361248373954072,15.957265853881836
ConvNN-265k,265295.0,last_layer,kron,0.1000000014901161,1.9382561,2.09865,0.055622537,0.0591469,0.158090673828125,0.4647527200424671,0.4056058203125,1770,2.0367978697054845,0.40589024832862586,15.221094131469727
ConvNN-294k,294272.0,last_layer,kron,0.1000000014901161,2.014087,2.222952,0.047134954,0.050781626,0.14965716796875,0.4306774856293201,0.379895859375,1850,2.141753609901248,0.38017977318162294,16.97216796875
ConvNN-316k,316801.0,last_layer,kron,0.1000000014901161,2.082236,2.3642967,0.038727142,0.043096673,0.138370595703125,0.3830066727435589,0.33991,1940,2.248340442074186,0.34019311407344077,19.854576110839844
ConvNN-348k,348399.0,last_layer,kron,0.1000000014901161,1.9592124,2.2881045,0.03623757,0.041508242,0.134095810546875,0.3543465823316574,0.31283833984375,2020,2.1600632665091726,0.3131209124731587,18.990428924560547
ConvNN-381k,381800.0,last_layer,kron,0.1000000014901161,1.8508482,2.2791135,0.033959422,0.0419147,0.124838447265625,0.3062937444305419,0.26437904296875,2110,2.099114652978759,0.2646606463928371,19.657054901123047
ConvNN-407k,407092.0,last_layer,kron,0.1000000014901161,1.829745,2.2424743,0.035263073,0.043065127,0.132007802734375,0.3322736816728115,0.2892085546875,2190,2.0991164699463227,0.2894906547117535,18.57615089416504
ConvNN-442k,442803.0,last_layer,kron,0.1000000014901161,1.8885306,2.3873603,0.036593053,0.046763178,0.1335768359375,0.3313155803048611,0.28455240234375,2270,2.2113824961721407,0.28483440924309417,20.44598960876465
ConvNN-470k,470351.0,last_layer,kron,0.1000000014901161,1.8394816,2.3497071,0.03706988,0.047786128,0.1371099609375,0.3413386082446575,0.29355248046875,2360,2.2005973212539782,0.29383466737325675,20.443218231201172
ConvNN-508k,508683.0,last_layer,kron,0.1000000014901161,1.8098812,2.3639412,0.037965618,0.050422538,0.1368668359375,0.3299847841656208,0.27956224609375,2440,2.1963868302006686,0.27984415318797307,20.662776947021484
ConvNN-548k,548878.0,last_layer,kron,0.1000000014901161,1.7401955,2.3307621,0.038903892,0.052901786,0.136502685546875,0.3185592272269725,0.26565744140625,2530,2.1420226396228,0.2659390703988172,19.969181060791016
ConvNN-579k,579129.0,last_layer,kron,0.1000000014901161,1.6512923,2.2488995,0.04088461,0.057024892,0.139601865234375,0.3268946189820766,0.2698697265625,2610,2.081046472823614,0.2701514398024554,19.39800453186035
ConvNN-621k,621574.0,last_layer,kron,0.1000000014901161,1.5837662,2.192846,0.04216008,0.05982956,0.14130236328125,0.3237958677709102,0.26396630859375,2690,2.0217813948860357,0.2642479037629845,18.158588409423828
ConvNN-654k,654141.0,last_layer,kron,0.1000000014901161,1.6607107,2.3065202,0.04341684,0.06263149,0.142404814453125,0.3262729526901245,0.26364146484375,2780,2.1152060438674685,0.2639230535159796,20.040346145629883
ConvNN-699k,699207.0,last_layer,kron,0.1000000014901161,1.625218,2.3221006,0.04607358,0.067774974,0.14557966796875,0.3327972199034691,0.26502224609375,2860,2.1151469928489712,0.265303862382157,19.188270568847656
ConvNN-746k,746196.0,last_layer,kron,0.1000000014901161,1.5201178,2.1686175,0.046175312,0.06788308,0.145279365234375,0.3193071832966804,0.2514241015625,2950,1.9757850406965871,0.25170544588257693,17.687074661254883
ConvNN-781k,781406.0,last_layer,kron,0.1000000014901161,1.4856098,2.1478868,0.046787944,0.06950526,0.149087587890625,0.3267535797071457,0.2572483203125,3030,1.967755561109813,0.25752978111928165,17.42529296875
ConvNN-830k,830585.0,last_layer,kron,0.1000000014901161,1.5214132,2.2173805,0.048103884,0.07147098,0.153925703125,0.339194909107685,0.26772392578125,3110,2.0400761366326776,0.2680055961043314,17.94631004333496
ConvNN-868k,868171.0,last_layer,kron,0.1000000014901161,1.4399312,2.1170595,0.049068566,0.07377293,0.15290052734375,0.3313394725775718,0.25756654296875,3200,1.9416754424933598,0.25784801014011205,17.222755432128906
ConvNN-919k,919971.0,last_layer,kron,0.1000000014901161,1.4284679,2.1359115,0.051095862,0.07836861,0.15049841796875,0.3189496467900276,0.24058103515625,3280,1.9284919806594443,0.2408621626106615,17.120763778686523
ConvNN-973k,973754.0,last_layer,kron,0.1000000014901161,1.4114401,2.108941,0.051604897,0.079593785,0.15865349609375,0.3402773202633857,0.26068353515625,3370,1.9343321630692085,0.2609650646687026,16.752853393554688
ConvNN-1013k,1013923.0,last_layer,kron,0.1000000014901161,1.3654289,2.097231,0.053713694,0.084427446,0.157253984375,0.3353676805019379,0.250940234375,3450,1.9097326856620414,0.2512215690175396,16.572956085205078
ConvNN-1069k,1069836.0,last_layer,kron,0.1000000014901161,1.3496155,2.0733624,0.05449774,0.08663075,0.1569959765625,0.3311939107847214,0.2445631640625,3530,1.8775082713097893,0.2448443711610825,16.10313606262207
ConvNN-1112k,1112441.0,last_layer,kron,0.1000000014901161,1.3014867,2.04732,0.05701059,0.09175542,0.161450341796875,0.3411917480945587,0.249436328125,3620,1.852858155087207,0.24971763268881306,15.451355934143066
ConvNN-1170k,1170975.0,last_layer,kron,0.1000000014901161,1.2919737,2.0313053,0.057309348,0.09337618,0.16222375,0.3409112601447105,0.247535078125,3700,1.8500046533626318,0.24781634466305255,16.04886245727539
