model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal,normalized KL
ConvNN-973k,973754.0,last_layer,kron,0.10000000149011612,1.4114279,2.1089103,0.051605485,0.079594195,0.15865349609375,0.07905930120468141
ConvNN-1013k,1013923.0,last_layer,kron,0.10000000149011612,1.3653842,2.0971878,0.05371287,0.08442533,0.157253984375,0.07282865421295165
ConvNN-1069k,1069836.0,last_layer,kron,0.10000000149011612,1.349605,2.0733683,0.054497935,0.086631045,0.1569959765625,0.07036493181705475
ConvNN-1112k,1112441.0,last_layer,kron,0.10000000149011612,1.3014878,2.0473177,0.05700929,0.091753095,0.161450341796875,0.06969724640846253
ConvNN-1170k,1170975.0,last_layer,kron,0.10000000149011612,1.2920008,2.0313368,0.05731103,0.093379594,0.16222375,0.06884415561437607
ConvNN-1231k,1231552.0,last_layer,kron,0.10000000149011612,1.3054079,2.097907,0.0601603,0.09995703,0.166109140625,0.06615211408376695
ConvNN-1276k,1276680.0,last_layer,kron,0.10000000149011612,1.3037038,2.1215315,0.06207674,0.10453287,0.16888509765625,0.0643522299861908
ConvNN-1339k,1339327.0,last_layer,kron,0.10000000149011612,1.2791069,2.0785952,0.06246507,0.10610869,0.1690260546875,0.06291736686944963
ConvNN-1386k,1386951.0,last_layer,kron,0.10000000149011612,1.2513748,2.0456004,0.06303394,0.10690918,0.1694997265625,0.06259054836511613
ConvNN-1452k,1452219.0,last_layer,kron,0.10000000149011612,1.2271444,1.9926554,0.061866328,0.10366203,0.16857865234375,0.06491662343502044
